PassengerId,Survived,Name,Sex,Age,Fare,Embarked_Q,Embarked_S
107,1,"Salkjelsvik, Miss. Anna Kristine",female,21.0,7.65,0,1
108,1,"Moss, Mr. Albert Johan",male,,7.775,0,1
109,0,"Rekic, Mr. Tido",male,38.0,7.8958,0,1
110,1,"Moran, Miss. Bertha",female,,24.15,1,0
111,0,"Porter, Mr. Walter Chamberlain",male,47.0,52.0,0,1
112,0,"Zabour, Miss. Hileni",female,14.5,14.4542,0,0
113,0,"Barton, Mr. David John",male,22.0,8.05,0,1
114,0,"Jussila, Miss. Katriina",female,20.0,9.825,0,1
115,0,"Attalah, Miss. Malake",female,17.0,14.4583,0,0
116,0,"Pekoniemi, Mr. Edvard",male,21.0,7.925,0,1
117,0,"Connors, Mr. Patrick",male,70.5,7.75,1,0
118,0,"Turpin, Mr. William John Robert",male,29.0,21.0,0,1
119,0,"Baxter, Mr. Quigg Edmond",male,24.0,247.5208,0,0
120,0,"Andersson, Miss. Ellis Anna Maria",female,2.0,31.275,0,1
121,0,"Hickman, Mr. Stanley George",male,21.0,73.5,0,1
122,0,"Moore, Mr. Leonard Charles",male,,8.05,0,1
123,0,"Nasser, Mr. Nicholas",male,32.5,30.0708,0,0
124,1,"Webber, Miss. Susan",female,32.5,13.0,0,1
125,0,"White, Mr. Percival Wayland",male,54.0,77.2875,0,1
126,1,"Nicola-Yarred, Master. Elias",male,12.0,11.2417,0,0
127,0,"McMahon, Mr. Martin",male,,7.75,1,0
128,1,"Madsen, Mr. Fridtjof Arne",male,24.0,7.1417,0,1
129,1,"Peter, Miss. Anna",female,,22.3583,0,0
130,0,"Ekstrom, Mr. Johan",male,45.0,6.975,0,1
131,0,"Drazenoic, Mr. Jozef",male,33.0,7.8958,0,0
132,0,"Coelho, Mr. Domingos Fernandeo",male,20.0,7.05,0,1
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,14.5,0,1
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,26.0,0,1
135,0,"Sobey, Mr. Samuel James Hayden",male,25.0,13.0,0,1
136,0,"Richard, Mr. Emile",male,23.0,15.0458,0,0
137,1,"Newsom, Miss. Helen Monypeny",female,19.0,26.2833,0,1
138,0,"Futrelle, Mr. Jacques Heath",male,37.0,53.1,0,1
139,0,"Osen, Mr. Olaf Elon",male,16.0,9.2167,0,1
140,0,"Giglio, Mr. Victor",male,24.0,79.2,0,0
141,0,"Boulos, Mrs. Joseph (Sultana)",female,,15.2458,0,0
142,1,"Nysten, Miss. Anna Sofia",female,22.0,7.75,0,1
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,15.85,0,1
144,0,"Burke, Mr. Jeremiah",male,19.0,6.75,1,0
145,0,"Andrew, Mr. Edgardo Samuel",male,18.0,11.5,0,1
146,0,"Nicholls, Mr. Joseph Charles",male,19.0,36.75,0,1
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,7.7958,0,1
148,0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,34.375,0,1
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,26.0,0,1
150,0,"Byles, Rev. Thomas Roussel Davids",male,42.0,13.0,0,1
151,0,"Bateman, Rev. Robert James",male,51.0,12.525,0,1
152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,66.6,0,1
153,0,"Meo, Mr. Alfonzo",male,55.5,8.05,0,1
154,0,"van Billiard, Mr. Austin Blyler",male,40.5,14.5,0,1
155,0,"Olsen, Mr. Ole Martin",male,,7.3125,0,1
156,0,"Williams, Mr. Charles Duane",male,51.0,61.3792,0,0
157,1,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,7.7333,1,0
158,0,"Corn, Mr. Harry",male,30.0,8.05,0,1
159,0,"Smiljanic, Mr. Mile",male,,8.6625,0,1
160,0,"Sage, Master. Thomas Henry",male,,69.55,0,1
161,0,"Cribb, Mr. John Hatfield",male,44.0,16.1,0,1
162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,15.75,0,1
163,0,"Bengtsson, Mr. John Viktor",male,26.0,7.775,0,1
164,0,"Calic, Mr. Jovo",male,17.0,8.6625,0,1
165,0,"Panula, Master. Eino Viljami",male,1.0,39.6875,0,1
166,1,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,20.525,0,1
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,55.0,0,1
168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,27.9,0,1
169,0,"Baumann, Mr. John D",male,,25.925,0,1
170,0,"Ling, Mr. Lee",male,28.0,56.4958,0,1
171,0,"Van der hoef, Mr. Wyckoff",male,61.0,33.5,0,1
172,0,"Rice, Master. Arthur",male,4.0,29.125,1,0
173,1,"Johnson, Miss. Eleanor Ileen",female,1.0,11.1333,0,1
174,0,"Sivola, Mr. Antti Wilhelm",male,21.0,7.925,0,1
175,0,"Smith, Mr. James Clinch",male,56.0,30.6958,0,0
176,0,"Klasen, Mr. Klas Albin",male,18.0,7.8542,0,1
177,0,"Lefebre, Master. Henry Forbes",male,,25.4667,0,1
178,0,"Isham, Miss. Ann Elizabeth",female,50.0,28.7125,0,0
179,0,"Hale, Mr. Reginald",male,30.0,13.0,0,1
180,0,"Leonard, Mr. Lionel",male,36.0,0.0,0,1
181,0,"Sage, Miss. Constance Gladys",female,,69.55,0,1
182,0,"Pernot, Mr. Rene",male,,15.05,0,0
183,0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,31.3875,0,1
184,1,"Becker, Master. Richard F",male,1.0,39.0,0,1
185,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,22.025,0,1
186,0,"Rood, Mr. Hugh Roscoe",male,,50.0,0,1
187,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,15.5,1,0
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,26.55,0,1
189,0,"Bourke, Mr. John",male,40.0,15.5,1,0
190,0,"Turcin, Mr. Stjepan",male,36.0,7.8958,0,1
191,1,"Pinsky, Mrs. (Rosa)",female,32.0,13.0,0,1
192,0,"Carbines, Mr. William",male,19.0,13.0,0,1
193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,7.8542,0,1
194,1,"Navratil, Master. Michel M",male,3.0,26.0,0,1
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,27.7208,0,0
196,1,"Lurette, Miss. Elise",female,58.0,146.5208,0,0
197,0,"Mernagh, Mr. Robert",male,,7.75,1,0
198,0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,8.4042,0,1
199,1,"Madigan, Miss. Margaret ""Maggie""",female,,7.75,1,0
200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,13.0,0,1
201,0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,9.5,0,1
202,0,"Sage, Mr. Frederick",male,,69.55,0,1
203,0,"Johanson, Mr. Jakob Alfred",male,34.0,6.4958,0,1
204,0,"Youseff, Mr. Gerious",male,45.5,7.225,0,0
205,1,"Cohen, Mr. Gurshon ""Gus""",male,18.0,8.05,0,1
206,0,"Strom, Miss. Telma Matilda",female,2.0,10.4625,0,1
207,0,"Backstrom, Mr. Karl Alfred",male,32.0,15.85,0,1
208,1,"Albimona, Mr. Nassef Cassem",male,26.0,18.7875,0,0
209,1,"Carr, Miss. Helen ""Ellen""",female,16.0,7.75,1,0
210,1,"Blank, Mr. Henry",male,40.0,31.0,0,0
211,0,"Ali, Mr. Ahmed",male,24.0,7.05,0,1
212,1,"Cameron, Miss. Clear Annie",female,35.0,21.0,0,1
213,0,"Perkin, Mr. John Henry",male,22.0,7.25,0,1
214,0,"Givard, Mr. Hans Kristensen",male,30.0,13.0,0,1
215,0,"Kiernan, Mr. Philip",male,,7.75,1,0
216,1,"Newell, Miss. Madeleine",female,31.0,113.275,0,0
217,1,"Honkanen, Miss. Eliina",female,27.0,7.925,0,1
218,0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,27.0,0,1
219,1,"Bazzani, Miss. Albina",female,32.0,76.2917,0,0
220,0,"Harris, Mr. Walter",male,30.0,10.5,0,1
221,1,"Sunderland, Mr. Victor Francis",male,16.0,8.05,0,1
222,0,"Bracken, Mr. James H",male,27.0,13.0,0,1
223,0,"Green, Mr. George Henry",male,51.0,8.05,0,1
224,0,"Nenkoff, Mr. Christo",male,,7.8958,0,1
225,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,90.0,0,1
226,0,"Berglund, Mr. Karl Ivar Sven",male,22.0,9.35,0,1
227,1,"Mellors, Mr. William John",male,19.0,10.5,0,1
228,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,7.25,0,1
229,0,"Fahlstrom, Mr. Arne Jonas",male,18.0,13.0,0,1
230,0,"Lefebre, Miss. Mathilde",female,,25.4667,0,1
231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,83.475,0,1
232,0,"Larsson, Mr. Bengt Edvin",male,29.0,7.775,0,1
233,0,"Sjostedt, Mr. Ernst Adolf",male,59.0,13.5,0,1
234,1,"Asplund, Miss. Lillian Gertrud",female,5.0,31.3875,0,1
235,0,"Leyson, Mr. Robert William Norman",male,24.0,10.5,0,1
236,0,"Harknett, Miss. Alice Phoebe",female,,7.55,0,1
237,0,"Hold, Mr. Stephen",male,44.0,26.0,0,1
238,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,26.25,0,1
239,0,"Pengelly, Mr. Frederick William",male,19.0,10.5,0,1
240,0,"Hunt, Mr. George Henry",male,33.0,12.275,0,1
241,0,"Zabour, Miss. Thamine",female,,14.4542,0,0
242,1,"Murphy, Miss. Katherine ""Kate""",female,,15.5,1,0
243,0,"Coleridge, Mr. Reginald Charles",male,29.0,10.5,0,1
244,0,"Maenpaa, Mr. Matti Alexanteri",male,22.0,7.125,0,1
245,0,"Attalah, Mr. Sleiman",male,30.0,7.225,0,0
246,0,"Minahan, Dr. William Edward",male,44.0,90.0,1,0
247,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,7.775,0,1
248,1,"Hamalainen, Mrs. William (Anna)",female,24.0,14.5,0,1
249,1,"Beckwith, Mr. Richard Leonard",male,37.0,52.5542,0,1
250,0,"Carter, Rev. Ernest Courtenay",male,54.0,26.0,0,1
251,0,"Reed, Mr. James George",male,,7.25,0,1
252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,10.4625,0,1
253,0,"Stead, Mr. William Thomas",male,62.0,26.55,0,1
254,0,"Lobb, Mr. William Arthur",male,30.0,16.1,0,1
255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,20.2125,0,1
256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,15.2458,0,0
257,1,"Thorne, Mrs. Gertrude Maybelle",female,,79.2,0,0
258,1,"Cherry, Miss. Gladys",female,30.0,86.5,0,1
259,1,"Ward, Miss. Anna",female,35.0,512.3292,0,0
260,1,"Parrish, Mrs. (Lutie Davis)",female,50.0,26.0,0,1
261,0,"Smith, Mr. Thomas",male,,7.75,1,0
262,1,"Asplund, Master. Edvin Rojj Felix",male,3.0,31.3875,0,1
263,0,"Taussig, Mr. Emil",male,52.0,79.65,0,1
264,0,"Harrison, Mr. William",male,40.0,0.0,0,1
265,0,"Henry, Miss. Delia",female,,7.75,1,0
266,0,"Reeves, Mr. David",male,36.0,10.5,0,1
267,0,"Panula, Mr. Ernesti Arvid",male,16.0,39.6875,0,1
268,1,"Persson, Mr. Ernst Ulrik",male,25.0,7.775,0,1
269,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,153.4625,0,1
270,1,"Bissette, Miss. Amelia",female,35.0,135.6333,0,1
271,0,"Cairns, Mr. Alexander",male,,31.0,0,1
272,1,"Tornquist, Mr. William Henry",male,25.0,0.0,0,1
273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,19.5,0,1
274,0,"Natsch, Mr. Charles H",male,37.0,29.7,0,0
275,1,"Healy, Miss. Hanora ""Nora""",female,,7.75,1,0
276,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,77.9583,0,1
277,0,"Lindblom, Miss. Augusta Charlotta",female,45.0,7.75,0,1
278,0,"Parkes, Mr. Francis ""Frank""",male,,0.0,0,1
279,0,"Rice, Master. Eric",male,7.0,29.125,1,0
280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,20.25,0,1
281,0,"Duane, Mr. Frank",male,65.0,7.75,1,0
282,0,"Olsson, Mr. Nils Johan Goransson",male,28.0,7.8542,0,1
283,0,"de Pelsmaeker, Mr. Alfons",male,16.0,9.5,0,1
284,1,"Dorking, Mr. Edward Arthur",male,19.0,8.05,0,1
285,0,"Smith, Mr. Richard William",male,,26.0,0,1
286,0,"Stankovic, Mr. Ivan",male,33.0,8.6625,0,0
287,1,"de Mulder, Mr. Theodore",male,30.0,9.5,0,1
288,0,"Naidenoff, Mr. Penko",male,22.0,7.8958,0,1
289,1,"Hosono, Mr. Masabumi",male,42.0,13.0,0,1
290,1,"Connolly, Miss. Kate",female,22.0,7.75,1,0
291,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,78.85,0,1
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,91.0792,0,0
293,0,"Levy, Mr. Rene Jacques",male,36.0,12.875,0,0
294,0,"Haas, Miss. Aloisia",female,24.0,8.85,0,1
295,0,"Mineff, Mr. Ivan",male,24.0,7.8958,0,1
296,0,"Lewy, Mr. Ervin G",male,,27.7208,0,0
297,0,"Hanna, Mr. Mansour",male,23.5,7.2292,0,0
298,0,"Allison, Miss. Helen Loraine",female,2.0,151.55,0,1
299,1,"Saalfeld, Mr. Adolphe",male,,30.5,0,1
300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,247.5208,0,0
301,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,7.75,1,0
302,1,"McCoy, Mr. Bernard",male,,23.25,1,0
303,0,"Johnson, Mr. William Cahoone Jr",male,19.0,0.0,0,1
304,1,"Keane, Miss. Nora A",female,,12.35,1,0
305,0,"Williams, Mr. Howard Hugh ""Harry""",male,,8.05,0,1
306,1,"Allison, Master. Hudson Trevor",male,0.92,151.55,0,1
307,1,"Fleming, Miss. Margaret",female,,110.8833,0,0
308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,108.9,0,0
309,0,"Abelson, Mr. Samuel",male,30.0,24.0,0,0
310,1,"Francatelli, Miss. Laura Mabel",female,30.0,56.9292,0,0
311,1,"Hays, Miss. Margaret Bechstein",female,24.0,83.1583,0,0
312,1,"Ryerson, Miss. Emily Borie",female,18.0,262.375,0,0
313,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,26.0,0,1
314,0,"Hendekovic, Mr. Ignjac",male,28.0,7.8958,0,1
315,0,"Hart, Mr. Benjamin",male,43.0,26.25,0,1
316,1,"Nilsson, Miss. Helmina Josefina",female,26.0,7.8542,0,1
317,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,26.0,0,1
318,0,"Moraweck, Dr. Ernest",male,54.0,14.0,0,1
319,1,"Wick, Miss. Mary Natalie",female,31.0,164.8667,0,1
320,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,134.5,0,0
321,0,"Dennis, Mr. Samuel",male,22.0,7.25,0,1
322,0,"Danoff, Mr. Yoto",male,27.0,7.8958,0,1
323,1,"Slayter, Miss. Hilda Mary",female,30.0,12.35,1,0
324,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,29.0,0,1
325,0,"Sage, Mr. George John Jr",male,,69.55,0,1
326,1,"Young, Miss. Marie Grice",female,36.0,135.6333,0,0
327,0,"Nysveen, Mr. Johan Hansen",male,61.0,6.2375,0,1
328,1,"Ball, Mrs. (Ada E Hall)",female,36.0,13.0,0,1
329,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,20.525,0,1
330,1,"Hippach, Miss. Jean Gertrude",female,16.0,57.9792,0,0
331,1,"McCoy, Miss. Agnes",female,,23.25,1,0
332,0,"Partner, Mr. Austen",male,45.5,28.5,0,1
333,0,"Graham, Mr. George Edward",male,38.0,153.4625,0,1
334,0,"Vander Planke, Mr. Leo Edmondus",male,16.0,18.0,0,1
335,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,133.65,0,1
336,0,"Denkoff, Mr. Mitto",male,,7.8958,0,1
337,0,"Pears, Mr. Thomas Clinton",male,29.0,66.6,0,1
338,1,"Burns, Miss. Elizabeth Margaret",female,41.0,134.5,0,0
339,1,"Dahl, Mr. Karl Edwart",male,45.0,8.05,0,1
340,0,"Blackwell, Mr. Stephen Weart",male,45.0,35.5,0,1
341,1,"Navratil, Master. Edmond Roger",male,2.0,26.0,0,1
342,1,"Fortune, Miss. Alice Elizabeth",female,24.0,263.0,0,1
343,0,"Collander, Mr. Erik Gustaf",male,28.0,13.0,0,1
344,0,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,13.0,0,1
345,0,"Fox, Mr. Stanley Hubert",male,36.0,13.0,0,1
346,1,"Brown, Miss. Amelia ""Mildred""",female,24.0,13.0,0,1
347,1,"Smith, Miss. Marion Elsie",female,40.0,13.0,0,1
348,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,16.1,0,1
349,1,"Coutts, Master. William Loch ""William""",male,3.0,15.9,0,1
350,0,"Dimic, Mr. Jovan",male,42.0,8.6625,0,1
351,0,"Odahl, Mr. Nils Martin",male,23.0,9.225,0,1
352,0,"Williams-Lambert, Mr. Fletcher Fellows",male,,35.0,0,1
353,0,"Elias, Mr. Tannous",male,15.0,7.2292,0,0
354,0,"Arnold-Franchi, Mr. Josef",male,25.0,17.8,0,1
355,0,"Yousif, Mr. Wazli",male,,7.225,0,0
356,0,"Vanden Steen, Mr. Leo Peter",male,28.0,9.5,0,1
357,1,"Bowerman, Miss. Elsie Edith",female,22.0,55.0,0,1
358,0,"Funk, Miss. Annie Clemmer",female,38.0,13.0,0,1
359,1,"McGovern, Miss. Mary",female,,7.8792,1,0
360,1,"Mockler, Miss. Helen Mary ""Ellie""",female,,7.8792,1,0
361,0,"Skoog, Mr. Wilhelm",male,40.0,27.9,0,1
362,0,"del Carlo, Mr. Sebastiano",male,29.0,27.7208,0,0
363,0,"Barbara, Mrs. (Catherine David)",female,45.0,14.4542,0,0
364,0,"Asim, Mr. Adola",male,35.0,7.05,0,1
365,0,"O'Brien, Mr. Thomas",male,,15.5,1,0
366,0,"Adahl, Mr. Mauritz Nils Martin",male,30.0,7.25,0,1
367,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,75.25,0,0
368,1,"Moussa, Mrs. (Mantoura Boulos)",female,,7.2292,0,0
369,1,"Jermyn, Miss. Annie",female,,7.75,1,0
370,1,"Aubart, Mme. Leontine Pauline",female,24.0,69.3,0,0
371,1,"Harder, Mr. George Achilles",male,25.0,55.4417,0,0
372,0,"Wiklund, Mr. Jakob Alfred",male,18.0,6.4958,0,1
373,0,"Beavan, Mr. William Thomas",male,19.0,8.05,0,1
374,0,"Ringhini, Mr. Sante",male,22.0,135.6333,0,0
375,0,"Palsson, Miss. Stina Viola",female,3.0,21.075,0,1
376,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,82.1708,0,0
377,1,"Landergren, Miss. Aurora Adelia",female,22.0,7.25,0,1
378,0,"Widener, Mr. Harry Elkins",male,27.0,211.5,0,0
379,0,"Betros, Mr. Tannous",male,20.0,4.0125,0,0
380,0,"Gustafsson, Mr. Karl Gideon",male,19.0,7.775,0,1
381,1,"Bidois, Miss. Rosalie",female,42.0,227.525,0,0
